TimeStamp, Channel, Quality, Alpha, Low_beta, High_beta, Gamma, Theta
08.40.48.597, IED_F7, 4, 3.272947, 0.346079, 0.279705, 0.386757, 26.360855 
08.40.48.601, IED_F3, 4, 1.214310, 0.297460, 0.139464, 0.093271, 0.443814 
08.40.48.607, IED_FC5, 4, 2.482387, 0.460092, 0.329116, 0.426580, 19.985393 
08.40.48.616, IED_T7, 4, 2.672973, 0.425193, 0.207477, 0.353801, 14.689398 
08.40.48.620, IED_P7, 4, 4.684974, 0.418671, 0.204252, 0.194731, 3.994871 
08.40.48.623, IED_Pz, 4, 5.843375, 0.678389, 0.266777, 0.452209, 3.287865 
08.40.48.630, IED_O1, 4, 5.843375, 0.678389, 0.266777, 0.452209, 3.287865 
08.40.48.632, IED_O2, 4, 17.913177, 2.004440, 1.330921, 1.164514, 11.086287 
08.40.48.634, IED_P8, 4, 13.044371, 2.305391, 1.181580, 0.857382, 15.993353 
08.40.48.637, IED_T8, 4, 3.264286, 1.221817, 0.704348, 0.781663, 14.151239 
08.40.48.639, IED_FC6, 4, 2.441283, 0.725168, 0.679418, 0.527758, 20.129384 
08.40.48.641, IED_F4, 4, 3.313398, 0.654486, 0.387197, 0.372047, 14.090723 
08.40.48.642, IED_F8, 4, 2.800663, 0.617483, 0.630073, 0.573643, 21.139415 
08.40.48.644, IED_AF4, 4, 3.502360, 0.532003, 0.370878, 0.359174, 18.608382 
08.40.49.647, IED_AF3, 4, 8.137636, 2.449457, 0.604766, 0.487052, 7.419419 
08.40.49.652, IED_F7, 4, 11.901444, 3.957163, 1.177029, 0.630700, 47.472576 
08.40.49.655, IED_F3, 4, 1.313866, 0.308500, 0.127333, 0.085560, 0.454372 
08.40.49.660, IED_FC5, 4, 15.353163, 4.957601, 0.793766, 0.493411, 62.550938 
08.40.49.807, IED_T7, 4, 10.877455, 4.052023, 1.042787, 0.503277, 48.343979 
08.40.49.808, IED_P7, 4, 4.458292, 1.221341, 0.451779, 0.268087, 15.498226 
08.40.49.810, IED_Pz, 4, 5.310364, 0.931456, 0.201814, 0.307498, 10.376960 
08.40.49.811, IED_O1, 4, 5.310364, 0.931456, 0.201814, 0.307498, 10.376960 
08.40.49.813, IED_O2, 4, 17.208958, 4.386594, 1.635446, 0.929496, 45.350638 
08.40.49.814, IED_P8, 4, 16.341775, 4.760651, 1.216519, 0.656390, 52.097582 
08.40.49.816, IED_T8, 4, 13.809210, 4.640651, 1.196381, 0.619361, 43.975181 
08.40.49.817, IED_FC6, 4, 19.860570, 5.284820, 0.960400, 0.605325, 52.503051 
08.40.49.818, IED_F4, 4, 15.646914, 3.584080, 0.699194, 0.405694, 39.856835 
08.40.49.819, IED_F8, 4, 18.233237, 6.185931, 1.310434, 0.575219, 57.842661 
08.40.49.820, IED_AF4, 4, 19.139733, 5.110751, 0.846882, 0.400462, 50.555918 
08.40.50.822, IED_AF3, 4, 3.555183, 1.734348, 0.749973, 0.803184, 3.958871 
08.40.50.826, IED_F7, 4, 9.323169, 3.827374, 0.845980, 0.511990, 17.468703 
08.40.50.830, IED_F3, 4, 1.062882, 0.168697, 0.141029, 0.116337, 0.459513 
08.40.50.833, IED_FC5, 4, 11.665608, 5.043013, 0.817595, 0.521311, 20.708899 
08.40.50.837, IED_T7, 4, 6.386344, 3.798087, 0.558926, 0.359437, 16.392092 
08.40.50.840, IED_P7, 4, 3.779489, 0.935607, 0.376310, 0.182743, 4.750959 
